dsL,pL,emL,cL
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Public Water Supply: Unmetered-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Public Water Supply: Unmetered-NMOSE
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
GPS Population Data,Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
Military Base Population Data,Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
GPS Population Data,Self Supplied Domestic Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
Military Base Population Data,Self Supplied Domestic Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
NA,NA,NA,Agricultural Applied Water-CA
NA,NA,NA,Lake Inflow from Streams-CA
NA,NA,NA,Lake Outflow to Streams-CA
California Water Plan Portfolio,Cultural Practices,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
CA DWR Land Use Surveys,Cultural Practices,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
Data from Private Wetlands or Duck Clubs,Cultural Practices,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
US Fish and Wildlife Services (USFWS),Cultural Practices,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
California Department of Fish and Wildlife (CDFW),Cultural Practices,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
California Water Plan Portfolio,Habitat Acreage,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
CA DWR Land Use Surveys,Habitat Acreage,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
Data from Private Wetlands or Duck Clubs,Habitat Acreage,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
US Fish and Wildlife Services (USFWS),Habitat Acreage,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
California Department of Fish and Wildlife (CDFW),Habitat Acreage,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
California Water Plan Portfolio,Unit ET of Applied Water,Managed Wetlands Applied Water Estimation,Managed Wetland Applied Water-CA
US Census Bureau,Population,Population and Per-Capita Water Use,Urban Applied Water-CA
California Department of Finance,Population,Population and Per-Capita Water Use,Urban Applied Water-CA
Water Use Surveys,Industrial Water Use,Population and Per-Capita Water Use,Urban Applied Water-CA
